Course Name,Possible Match in courses.json,Notes
Alpine CC,,
Bear Lake West,,
Birch Creek GC,,
Bloomington CC,,
Camper World Resort,,
Canyons Golf,,
Copper Club,,
Copper Rock,,
Coral Canyon GC,,
Cottonwood Country Club,,
Entrada CC,,
Glenmoor GC,,
Glenwild CC,,
Golf The Round,,
Green River GC,,
Hidden Valley CC,,
Hubbard GC at Hill AFB,,
Jeremy Ranch CC,,
Logan Golf & Country Club,,
Meadowbrook GC,Meadow Brook (SLC),Possible match (score 95.65217391304348)
Millsite GC,,
Moab GC,,
Mulligans,,
Oakridge CC,,
Ogden G&CC,,
Overlake GC,,
Palisade State Park GC,,
Park Meadows CC,,
Pistol Rock Golf Course,,
Promontory Club,,
Red Ledges GC,,
Riverside CC,,
Round Valley GC,,
Schneiter's Bluff GC,,
Schneiter's Pebblebrook GC,,
Schneiter's Riverside GC,,
Sherwood Hills GC,,
Skyline Mountain Resort,Sky Mountain (Hurricane),Possible match (score 85.71428571428572)
Skyway GC,,
Soldier Hollow,,
Stansbury Park GC,,
Sun River GC,SunRiver Golf Club (St. George),Possible match (score 94.11764705882352)
Sunset View GC,,
Talisker Club,,
The Barn GC,,
The Country Club,,
The Hideout GC,,
The Outlaw Golf Club,,
Thunderbird GC,,
Timpanogos GC,,
Toads Golf Course,,
Toana Vista GC,,
Victory Ranch GC,,
Wasatch Mountain GC,,
Wasatch Peaks,,
Willow Creek CC,,
Wingpointe GC,,
Wohali,,
